season,weekday,weathersit,temp,atemp,hum,windspeed,cnt,time_of_day
Winter,6,Clear,3.28,3.0014,0.81,0,16,Night
Winter,6,Clear,2.34,1.9982,0.8,0,40,Night
Winter,6,Clear,2.34,1.9982,0.8,0,32,Night
Winter,6,Clear,3.28,3.0014,0.75,0,13,Night
Winter,6,Clear,3.28,3.0014,0.75,0,1,Night
Winter,6,Mist,3.28,1.0016,0.75,6.0032,1,Morning
Winter,6,Clear,2.34,1.9982,0.8,0,2,Morning
Winter,6,Clear,1.4,1.0016,0.86,0,3,Morning
Winter,6,Clear,3.28,3.0014,0.75,0,8,Morning
Winter,6,Clear,7.04,7.001,0.76,0,14,Morning
Winter,6,Clear,9.86,9.9974,0.76,16.9979,36,Morning
Winter,6,Clear,8.92,5.9978,0.81,19.0012,56,Morning
Winter,6,Clear,11.74,11.9972,0.77,19.0012,84,Morning
Winter,6,Mist,13.62,13.997,0.72,19.9995,94,Evening
Winter,6,Mist,13.62,13.997,0.72,19.0012,106,Evening
Winter,6,Mist,12.68,13.0004,0.77,19.9995,110,Evening
Winter,6,Mist,11.74,11.9972,0.82,19.9995,93,Evening
Winter,6,Mist,12.68,13.0004,0.82,19.0012,67,Evening
Winter,6,Light Rain,11.74,11.9972,0.88,16.9979,35,Evening
Winter,6,Light Rain,11.74,11.9972,0.88,16.9979,37,Evening
Winter,6,Mist,10.8,11.0006,0.87,16.9979,36,Night
Winter,6,Mist,10.8,11.0006,0.87,12.998,34,Night
Winter,6,Mist,10.8,11.0006,0.94,15.0013,28,Night
Winter,6,Mist,13.62,13.997,0.88,19.9995,39,Night
Winter,0,Mist,13.62,13.997,0.88,19.9995,17,Night
Winter,0,Mist,12.68,13.0004,0.94,16.9979,17,Night
Winter,0,Mist,11.74,11.9972,1,19.0012,9,Night
Winter,0,Mist,13.62,13.997,0.94,12.998,6,Night
Winter,0,Mist,13.62,13.997,0.94,12.998,3,Night
Winter,0,Light Rain,11.74,11.9972,0.77,19.9995,2,Morning
Winter,0,Mist,10.8,11.0006,0.76,12.998,1,Morning
Winter,0,Light Rain,10.8,11.0006,0.71,15.0013,8,Morning
Winter,0,Mist,9.86,9.9974,0.76,15.0013,20,Morning
Winter,0,Mist,8.92,7.001,0.81,15.0013,53,Morning
Winter,0,Mist,8.92,5.9978,0.71,16.9979,70,Morning
Winter,0,Mist,8.92,5.9978,0.66,19.9995,93,Morning
Winter,0,Mist,8.92,7.001,0.66,8.9981,75,Evening
Winter,0,Light Rain,8.92,7.001,0.76,12.998,59,Evening
Winter,0,Light Rain,7.98,5.9978,0.81,11.0014,74,Evening
Winter,0,Light Rain,7.98,5.9978,0.71,11.0014,76,Evening
Winter,0,Clear,7.98,5.9978,0.57,12.998,65,Evening
Winter,0,Mist,8.92,5.9978,0.46,22.0028,53,Evening
Winter,0,Clear,7.04,3.0014,0.42,30.0026,30,Evening
Winter,0,Clear,6.1,1.9982,0.39,23.9994,22,Night
Winter,0,Clear,4.22,-0.9982,0.44,22.0028,31,Night
Winter,0,Clear,3.28,-2.0014,0.44,19.9995,9,Night
Winter,0,Clear,2.34,-0.9982,0.47,11.0014,8,Night
Winter,1,Clear,2.34,-2.998,0.44,23.9994,5,Night
Winter,1,Clear,1.4,-4.9978,0.44,27.9993,2,Night
Winter,1,Clear,-0.48,-6.9976,0.47,26.0027,1,Night
Winter,1,Clear,-0.48,-6.9976,0.47,19.0012,3,Morning
Winter,1,Clear,-1.42,-8.9974,0.5,26.0027,30,Morning
Winter,1,Clear,-1.42,-6.9976,0.5,12.998,64,Morning
Winter,1,Clear,-1.42,-8.0008,0.5,19.0012,154,Morning
Winter,1,Clear,-0.48,-6.9976,0.43,26.0027,88,Morning
Winter,1,Clear,0.46,-4.9978,0.43,16.9979,44,Morning
Winter,1,Clear,1.4,-4.0012,0.4,22.0028,51,Morning
Winter,1,Clear,2.34,-2.0014,0.35,19.9995,61,Morning
Winter,1,Clear,3.28,-2.0014,0.35,19.0012,61,Evening
Winter,1,Clear,4.22,-0.0016,0.3,19.0012,77,Evening
Winter,1,Clear,4.22,-0.0016,0.3,16.9979,72,Evening
Winter,1,Clear,4.22,-0.0016,0.3,16.9979,76,Evening
Winter,1,Clear,3.28,-0.9982,0.3,15.0013,157,Evening
