Fecha	Cuenta	Departamento	Suma de Importe
12/1/2009	61510	150	($22.07)
12/1/2009	61520	150	($151.82)
12/1/2009	61530	150	($12.40)
12/1/2009	61540	150	($0.92)
12/1/2009	61550	150	($61.87)
12/1/2009	61560	150	($1.60)
12/1/2009	61570	150	($127.03)
12/1/2009	62010	150	($283.84)
12/1/2009	62020	150	($241.45)
12/1/2009	62099	150	$18.41 
12/1/2009	62510	120	($70.58)
12/1/2009	62520	120	($73.52)
12/1/2009	62530	120	$2.73 
12/1/2009	62550	120	($15.50)
12/1/2009	62560	120	($1.45)
12/1/2009	63050	150	($10.87)
12/1/2009	64000	150	$180.71 
12/1/2009	64010	150	$1.88 
12/1/2009	64020	150	$0.83 
12/1/2009	65540	110	($72.39)
12/1/2009	65550	110	($31.14)
12/1/2009	65590	110	($6.05)
12/1/2009	65600	110	($12.03)
12/1/2009	65610	110	($26.33)
12/1/2009	65650	110	($1.94)
12/1/2009	65690	110	($31.64)
12/1/2009	65700	110	($59.98)
12/1/2009	65710	110	($517.28)
12/1/2009	65730	110	($0.84)
12/1/2009	65740	110	($433.45)
12/1/2009	65750	110	($544.58)
12/1/2009	65760	110	($6.29)
12/1/2009	66010	130	($2.03)
12/1/2009	66020	130	($27.26)
12/1/2009	66040	130	($7.95)
12/1/2009	66050	130	($40.89)
12/1/2009	66070	130	($0.28)
12/1/2009	66080	130	($2.03)
12/1/2009	66100	130	($4.43)
12/1/2009	66110	130	($0.42)
12/1/2009	66120	130	($1.55)
12/1/2009	66130	130	($63.11)
12/1/2009	66140	130	$11.42 
12/1/2009	66510	140	($6.54)
12/1/2009	66520	140	($1.72)
12/1/2009	66530	140	($6.93)
12/1/2009	68050	170	$0.31 
12/1/2009	68060	170	($42.54)
12/2/2009	61510	150	($22.07)
12/2/2009	61520	150	($151.82)
12/2/2009	61530	150	($12.40)
12/2/2009	61540	150	($0.92)
12/2/2009	61550	150	($61.87)
12/2/2009	61560	150	($1.60)
12/2/2009	61570	150	($127.03)
12/2/2009	62010	150	($283.84)
12/2/2009	62020	150	($241.45)
12/2/2009	62099	150	$18.41 
12/2/2009	62510	120	($70.58)
12/2/2009	62520	120	($73.52)
12/2/2009	62530	120	$2.73 
12/2/2009	62550	120	($15.50)
12/2/2009	62560	120	($1.45)
12/2/2009	63050	150	($10.87)
12/2/2009	64000	150	$180.71 
12/2/2009	64010	150	$1.88 
12/2/2009	64020	150	$0.83 
12/2/2009	65540	110	($72.39)
12/2/2009	65550	110	($31.14)
12/2/2009	65590	110	($6.05)
12/2/2009	65600	110	($12.03)
12/2/2009	65610	110	($26.33)
12/2/2009	65650	110	($1.94)
12/2/2009	65690	110	($31.64)
12/2/2009	65700	110	($59.98)
12/2/2009	65710	110	($517.28)
12/2/2009	65730	110	($0.84)
12/2/2009	65740	110	($433.45)
12/2/2009	65750	110	($544.58)
12/2/2009	65760	110	($6.29)
12/2/2009	66010	130	($2.03)
12/2/2009	66020	130	($27.26)
12/2/2009	66040	130	($7.95)
12/2/2009	66050	130	($40.89)
12/2/2009	66070	130	($0.28)
12/2/2009	66080	130	($2.03)
12/2/2009	66100	130	($4.43)
12/2/2009	66110	130	($0.42)
12/2/2009	66120	130	($1.55)
12/2/2009	66130	130	($63.11)
12/2/2009	66140	130	$11.42 
12/2/2009	66510	140	($6.54)
12/2/2009	66520	140	($1.72)
12/2/2009	66530	140	($6.93)
12/2/2009	68050	170	$0.31 
12/2/2009	68060	170	($42.54)
12/3/2009	61510	150	($22.07)
12/3/2009	61520	150	($151.82)
12/3/2009	61530	150	($12.40)
12/3/2009	61540	150	($0.92)
12/3/2009	61550	150	($61.87)
12/3/2009	61560	150	($1.60)
12/3/2009	61570	150	($127.03)
12/3/2009	62010	150	($283.84)
12/3/2009	62020	150	($241.45)
12/3/2009	62099	150	$18.41 
12/3/2009	62510	120	($70.58)
12/3/2009	62520	120	($73.52)
12/3/2009	62530	120	$2.73 
12/3/2009	62550	120	($15.50)
12/3/2009	62560	120	($1.45)
12/3/2009	63050	150	($10.87)
12/3/2009	64000	150	$180.71 
12/3/2009	64010	150	$1.88 
12/3/2009	64020	150	$0.83 
12/3/2009	65540	110	($72.39)
12/3/2009	65550	110	($31.14)
12/3/2009	65590	110	($6.05)
12/3/2009	65600	110	($12.03)
12/3/2009	65610	110	($26.33)
12/3/2009	65650	110	($1.94)
12/3/2009	65690	110	($31.64)
12/3/2009	65700	110	($59.98)
12/3/2009	65710	110	($517.28)
12/3/2009	65730	110	($0.84)
12/3/2009	65740	110	($433.45)
12/3/2009	65750	110	($544.58)
12/3/2009	65760	110	($6.29)
12/3/2009	66010	130	($2.03)
12/3/2009	66020	130	($27.26)
12/3/2009	66040	130	($7.95)
12/3/2009	66050	130	($40.89)
12/3/2009	66070	130	($0.28)
12/3/2009	66080	130	($2.03)
12/3/2009	66100	130	($4.43)
12/3/2009	66110	130	($0.42)
12/3/2009	66120	130	($1.55)
12/3/2009	66130	130	($63.11)
12/3/2009	66140	130	$11.42 
12/3/2009	66510	140	($6.54)
12/3/2009	66520	140	($1.72)
12/3/2009	66530	140	($6.93)
12/3/2009	68050	170	$0.31 
12/3/2009	68060	170	($42.54)
12/3/2009	71010	120	$362.91 
12/3/2009	71020	120	$929.93 
12/3/2009	71030	120	($46.84)
12/3/2009	71050	120	$60.45 
12/3/2009	71060	120	($77.37)
12/3/2009	71070	120	($1.74)
12/3/2009	71080	120	$22.71 
12/3/2009	71160	150	$80.46 
12/3/2009	71170	150	$111.34 
12/3/2009	71180	150	$269.10 
12/3/2009	71190	150	($0.20)
12/3/2009	71200	150	$20.42 
12/3/2009	71240	150	$584.91 
12/3/2009	71299	150	($13.14)
12/3/2009	71310	150	"$1,157.84 "
12/3/2009	71325	150	($419.65)
12/3/2009	71550	150	$281.84 
12/3/2009	71560	140	$80.00 
12/3/2009	72010	110	"$1,994.53 "
12/3/2009	72020	110	"$2,358.28 "
12/3/2009	72040	130	$345.25 
12/3/2009	72050	140	$91.91 
12/3/2009	72060	150	"$1,970.39 "
12/3/2009	72070	150	"$2,113.00 "
12/3/2009	72090	150	$976.47 
12/3/2009	72110	160	"$2,160.44 "
12/3/2009	72120	160	"$2,291.43 "
12/3/2009	72130	160	$129.33 
12/3/2009	72140	160	$580.30 
12/3/2009	72150	165	"$1,645.64 "
12/3/2009	72160	170	"$1,206.45 "
12/3/2009	72999	150	($236.06)
12/3/2009	73010	110	$129.64 
12/3/2009	73010	130	$17.00 
12/3/2009	73010	140	$6.93 
12/3/2009	73010	150	$129.46 
12/3/2009	73010	160	$136.33 
12/3/2009	73010	165	$64.14 
12/3/2009	73010	170	$108.56 
12/3/2009	73020	110	$65.55 
12/3/2009	73020	130	$8.80 
12/3/2009	73020	140	$3.53 
12/3/2009	73020	150	$76.41 
12/3/2009	73020	160	$62.34 
12/3/2009	73020	165	$27.50 
12/3/2009	73020	170	$14.56 
12/3/2009	73030	110	$180.00 
12/3/2009	73030	150	$348.00 
12/3/2009	73030	160	$148.00 
12/3/2009	73030	165	$56.00 
12/3/2009	73035	110	$137.45 
12/3/2009	73035	150	$122.91 
12/3/2009	73035	160	$173.29 
12/3/2009	73035	165	$51.13 
12/3/2009	73035	170	$44.76 
12/3/2009	73040	110	$157.20 
12/3/2009	73040	150	$214.80 
12/3/2009	73040	160	$111.60 
12/3/2009	73040	165	$32.40 
12/3/2009	73050	110	$37.75 
12/3/2009	73050	130	$3.40 
12/3/2009	73050	140	$1.34 
12/3/2009	73050	150	$51.86 
12/3/2009	73050	160	$51.04 
12/3/2009	73050	165	$16.70 
12/3/2009	73050	170	$14.62 
12/3/2009	73060	150	$36.07 
12/3/2009	80990	110	"$1,309.37 "
12/3/2009	81010	110	$47.00 
12/3/2009	81050	160	$137.00 
12/3/2009	81090	160	$3.87 
12/3/2009	81100	160	$159.98 
12/3/2009	81110	160	$17.14 
12/3/2009	81140	160	$121.36 
12/3/2009	81150	160	$109.59 
12/3/2009	81170	160	$25.94 
12/3/2009	81180	160	($824.00)
12/3/2009	81190	160	$2.96 
12/3/2009	81200	160	$6.29 
12/3/2009	81210	160	$42.71 
12/3/2009	81220	160	$44.74 
12/3/2009	81230	160	$45.58 
12/3/2009	81260	160	$76.03 
12/3/2009	81270	160	$240.69 
12/3/2009	81280	160	$62.20 
12/3/2009	81350	160	$9.43 
12/3/2009	81900	165	$255.04 
12/3/2009	82010	130	$387.89 
12/3/2009	82050	150	$77.86 
12/3/2009	82060	170	$432.42 
12/3/2009	82070	150	$64.96 
12/3/2009	82080	170	$28.38 
12/3/2009	83010	170	$97.96 
12/3/2009	83020	130	$80.00 
12/3/2009	83020	160	$202.62 
12/3/2009	83020	170	$250.96 
12/3/2009	83030	150	$165.43 
12/3/2009	83050	170	$255.62 
12/3/2009	83060	170	$64.73 
12/3/2009	83070	170	$172.47 
12/3/2009	84020	130	$199.80 
12/3/2009	84020	170	$161.45 
12/3/2009	85010	170	$99.31 
12/3/2009	85510	170	$538.71 
12/3/2009	86010	110	$189.38 
12/3/2009	86010	130	$7.20 
12/3/2009	86010	150	$310.12 
12/3/2009	86010	160	$51.23 
12/3/2009	86010	165	$94.37 
12/3/2009	86010	170	$2.70 
12/3/2009	86020	110	$30.86 
12/3/2009	86020	150	$18.70 
12/3/2009	86030	110	($107.12)
12/3/2009	86030	150	$24.95 
12/3/2009	86040	110	$364.79 
12/3/2009	86040	150	$252.62 
12/3/2009	86050	110	$112.62 
12/3/2009	86050	150	$56.12 
12/3/2009	86050	160	$29.28 
12/3/2009	86090	160	$78.00 
12/3/2009	86100	110	$127.47 
12/3/2009	86100	150	$40.83 
12/3/2009	86100	160	$37.87 
12/3/2009	86100	170	$56.63 
12/3/2009	86150	110	$103.13 
12/3/2009	86180	140	$55.33 
12/3/2009	86200	110	$29.85 
12/3/2009	86200	160	$27.76 
12/3/2009	86260	120	$17.74 
12/3/2009	86270	150	$71.78 
12/3/2009	86280	150	$9.28 
12/3/2009	86290	150	$161.12 
12/3/2009	86290	170	$38.69 
12/3/2009	86310	150	$92.24 
12/3/2009	86330	150	$305.41 
12/3/2009	86350	150	($20.68)
